Year,Player,Tm,FGA,THREEPA
1950,Curly Armstrong,FTW,516,0
1950,Cliff Barker,INO,274,0
1950,Leo Barnhorst,CHS,499,0
1950,Ed Bartels,TOT,86,0
1950,Ed Bartels,DNN,82,0
1950,Ed Bartels,NYK,4,0
1950,Ralph Beard,INO,936,0
1950,Gene Berce,TRI,16,0
1950,Charlie Black,TOT,813,0
1950,Charlie Black,FTW,435,0
1950,Charlie Black,AND,378,0
1950,Nelson Bobb,PHW,248,0
1950,Jake Bornheimer,PHW,305,0
1950,Vince Boryla,NYK,600,0
1950,Don Boven,WAT,558,0
1950,Harry Boykoff,WAT,698,0
1950,Joe Bradley,CHS,134,0
1950,Bob Brannum,SHE,718,0
1950,Carl Braun,NYK,1024,0
1950,Frankie Brian,AND,1156,0
1950,Price Brookfield,ROC,23,0
1950,Bob Brown,DNN,764,0
1950,Jim Browne,DNN,48,0
1950,Walt Budko,BLB,652,0
1950,Jack Burmaster,SHE,711,0
1950,Tommy Byrnes,BLB,397,0
1950,Bill Calhoun,ROC,549,0
1950,Don Carlson,MNL,290,0
1950,Bob Carpenter,FTW,617,0
1950,Jake Carter,TOT,75,0
1950,Jake Carter,DNN,45,0
1950,Jake Carter,AND,30,0
1950,Al Cervi*,SYR,431,0
1950,John Chaney,TOT,86,0
1950,John Chaney,TRI,37,0
1950,John Chaney,SHE,49,0
1950,Leroy Chollet,SYR,179,0
1950,Bill Closs,AND,898,0
1950,Paul Cloyd,TOT,26,0
1950,Paul Cloyd,BLB,8,0
1950,Paul Cloyd,WAT,18,0
1950,Jack Coleman,ROC,663,0
1950,Bobby Cook,SHE,620,0
1950,Ray Corley,SYR,370,0
1950,Jack Cotton,DNN,332,0
1950,Dillard Crocker,DNN,840,0
1950,Chink Crossin,PHW,574,0
1950,Fran Curran,ROC,235,0
1950,Jimmy Darden,DNN,243,0
1950,Bob Davies*,ROC,887,0
1950,Hook Dillon,WSC,55,0
1950,Earl Dodd,DNN,27,0
1950,Joe Dolhon,BLB,458,0
1950,Bob Doll,BOS,347,0
1950,Harry Donovan,NYK,275,0
1950,Andy Duncan,ROC,289,0
1950,Dike Eddleman,TRI,906,0
1950,Gene Englund,TOT,274,0
1950,Gene Englund,BOS,148,0
1950,Gene Englund,TRI,126,0
1950,Bob Evans,INO,200,0
1950,Johnny Ezersky,TOT,487,0
1950,Johnny Ezersky,BLB,351,0
1950,Johnny Ezersky,BOS,136,0
1950,Bob Feerick,WSC,500,0
1950,George Feigenbaum,BLB,57,0
1950,Arnie Ferrin,MNL,396,0
1950,Jerry Fleishman,PHW,353,0
1950,Joe Fulks*,PHW,1209,0
1950,Bill Gabor,SYR,671,0
1950,Elmer Gainer,WAT,35,0
1950,Harry Gallatin*,NYK,664,0
1950,Vern Gardner,PHW,916,0
1950,Frank Gates,AND,402,0
1950,Dee Gibson,TRI,245,0
1950,Hoot Gibson,TOT,195,0
1950,Hoot Gibson,BOS,4,0
1950,Hoot Gibson,WAT,191,0
1950,Chuck Gilmur,WSC,379,0
1950,Normie Glick,MNL,1,0
1950,Paul Gordon,BLB,6,0
1950,Joe Graboski,CHS,247,0
1950,Bud Grant,MNL,115,0
1950,Don Grate,SHE,6,0
1950,Alex Groza,INO,1090,0
1950,Al Guokas,TOT,299,0
1950,Al Guokas,DNN,271,0
1950,Al Guokas,PHW,28,0
1950,Robert Hahn,CHS,13,0
1950,Chick Halbert,WSC,284,0
1950,Bruce Hale,INO,614,0
1950,Dale Hamilton,WAT,33,0
1950,Alex Hannum*,SYR,488,0
1950,John Hargis,AND,550,0
1950,Bob Harris,FTW,465,0
1950,Bob Harrison,MNL,348,0
1950,Billy Hassett,TOT,302,0
1950,Billy Hassett,TRI,157,0
1950,Billy Hassett,MNL,145,0
1950,Marshall Hawkins,INO,195,0
1950,Bill Henry,TOT,278,0
1950,Bill Henry,FTW,209,0
1950,Bill Henry,TRI,69,0
1950,Bill Herman,DNN,65,0
1950,Kleggie Hermsen,CHS,615,0
1950,Sonny Hertzberg,BOS,865,0
1950,Paul Hoffman,BLB,914,0
1950,Joe Holland,INO,453,0
1950,Red Holzman*,ROC,625,0
1950,Gene James,NYK,64,0
1950,Howie Janotta,BLB,30,0
1950,Tony Jaros,MNL,289,0
1950,Buddy Jeannette*,BLB,148,0
1950,Arnie Johnson,ROC,376,0
1950,Ralph Johnson,TOT,779,0
1950,Ralph Johnson,AND,426,0
1950,Ralph Johnson,FTW,353,0
1950,Wah Wah,INO,706,0
1950,Noble Jorgensen,SHE,618,0
1950,George Kaftan,BOS,535,0
1950,Leo Katkaveck,WSC,330,0
1950,Jack Kerris,TOT,481,0
1950,Jack Kerris,TRI,26,0
1950,Jack Kerris,FTW,455,0
1950,Bob Kinney,BOS,621,0
1950,Walt Kirk,TOT,361,0
1950,Walt Kirk,AND,125,0
1950,Walt Kirk,TRI,236,0
1950,Leo Klier,FTW,516,0
1950,Duane Klueh,TOT,414,0
1950,Duane Klueh,DNN,302,0
1950,Duane Klueh,FTW,112,0
1950,Lee Knorek,BLB,2,0
1950,Milo Komenich,AND,861,0
1950,Leo Kubiak,WAT,794,0
1950,Frank Kudelka,CHS,528,0
1950,Walt Lautenbach,SHE,332,0
1950,Tony Lavelli,BOS,436,0
1950,Ed Leede,BOS,507,0
1950,Andrew Levane,SYR,418,0
1950,Freddie Lewis,TOT,184,0
1950,Freddie Lewis,BLB,110,0
1950,Freddie Lewis,PHW,74,0
1950,Ron Livingstone,TOT,579,0
1950,Ron Livingstone,BLB,102,0
1950,Ron Livingstone,PHW,477,0
1950,John Logan,STB,759,0
1950,Ray Lumpp,NYK,283,0
1950,Ed Macauley*,STB,882,0
1950,Johnny Macknowski,SYR,463,0
1950,John Mahnken,TOT,495,0
1950,John Mahnken,FTW,8,0
1950,John Mahnken,TRI,319,0
1950,John Mahnken,BOS,168,0
1950,John Mandic,TOT,75,0
1950,John Mandic,WSC,65,0
1950,John Mandic,BLB,10,0
1950,Slater Martin*,MNL,302,0
1950,Ariel Maughan,STB,574,0
1950,Matt Mazza,SHE,110,0
1950,Mike McCarron,TOT,15,0
1950,Mike McCarron,BLB,5,0
1950,Mike McCarron,STB,10,0
1950,Dick McGuire*,NYK,563,0
1950,Bones McKinney,WSC,631,0
1950,Mal McMullen,INO,380,0
1950,Dick Mehen,WAT,826,0
1950,Ken Menke,WAT,17,0
1950,Stan Miasek,CHS,462,0
1950,Ed Mikan,TOT,321,0
1950,Ed Mikan,CHS,127,0
1950,Ed Mikan,ROC,194,0
1950,George Mikan*,MNL,1595,0
1950,Vern Mikkelsen*,MNL,722,0
1950,Al Miksis,WAT,21,0
1950,Murray Mitchell,AND,3,0
1950,Leo Mogus,PHW,434,0
1950,Max Morris,SHE,694,0
1950,Joe Mullaney,BOS,70,0
1950,Jerry Nagel,FTW,28,0
1950,Jack Nichols,TOT,848,0
1950,Jack Nichols,WSC,629,0
1950,Jack Nichols,TRI,219,0
1950,Richie Niemiera,TOT,350,0
1950,Richie Niemiera,FTW,207,0
1950,Richie Niemiera,AND,143,0
1950,Paul Noel,NYK,291,0
1950,Jim Nolan,PHW,21,0
1950,Johnny Norlander,WSC,293,0
1950,George Nostrand,TOT,255,0
1950,George Nostrand,BOS,120,0
1950,George Nostrand,TRI,10,0
1950,George Nostrand,CHS,125,0
1950,Mike Novak,TOT,149,0
1950,Mike Novak,ROC,11,0
1950,Mike Novak,PHW,138,0
1950,Dermie O'Connell,TOT,425,0
1950,Dermie O'Connell,BOS,275,0
1950,Dermie O'Connell,STB,150,0
1950,Andy O'Donnell,BLB,108,0
1950,Dick O'Keefe,WSC,529,0
1950,John Oldham,FTW,426,0
1950,Gene Ollrich,WAT,72,0
1950,Johnny Orr,TOT,118,0
1950,Johnny Orr,STB,47,0
1950,Johnny Orr,WAT,71,0
1950,Don Otten,TOT,648,0
1950,Don Otten,TRI,451,0
1950,Don Otten,WSC,197,0
1950,Mac Otten,TOT,155,0
1950,Mac Otten,TRI,34,0
1950,Mac Otten,STB,121,0
1950,Red Owens,TOT,288,0
1950,Red Owens,TRI,137,0
1950,Red Owens,AND,151,0
1950,Easy Parham,STB,421,0
1950,Jack Parkinson,INO,12,0
1950,Charlie Parsley,PHW,31,0
1950,Stan Patrick,TOT,294,0
1950,Stan Patrick,WAT,187,0
1950,Stan Patrick,SHE,107,0
1950,Johnny Payak,TOT,331,0
1950,Johnny Payak,PHW,32,0
1950,Johnny Payak,WAT,299,0
1950,Warren Perkins,TRI,422,0
1950,Ed Peterson,SYR,390,0
1950,Jack Phelan,TOT,268,0
1950,Jack Phelan,WAT,69,0
1950,Jack Phelan,SHE,199,0
1950,Andy Phillip*,CHS,814,0
1950,Jim Pollard*,MNL,1140,0
1950,John Pritchard,WAT,29,0
1950,Les Pugh,BLB,273,0
1950,Don Putman,STB,200,0
1950,George Ratkovicz,SYR,439,0
1950,Don Ray,TRI,403,0
1950,Chick Reiser,WSC,646,0
1950,Arnie Risen*,ROC,598,0
1950,Tex Ritter,NYK,297,0
1950,Bill Roberts,STB,222,0
1950,Red Rocha,STB,679,0
1950,Kenny Rollins,CHS,421,0
1950,Bob Royer,DNN,231,0
1950,Jerry Rullo,PHW,9,0
1950,Ed Sadowski,TOT,922,0
1950,Ed Sadowski,PHW,153,0
1950,Ed Sadowski,BLB,769,0
1950,Kenny Sailors,DNN,944,0
1950,Pep Saul,ROC,183,0
1950,Herm Schaefer,MNL,314,0
1950,Marv Schatzman,BLB,174,0
1950,Fred Schaus,FTW,996,0
1950,Dolph Schayes*,SYR,903,0
1950,Milt Schoon,SHE,366,0
1950,Howie Schultz,TOT,671,0
1950,Howie Schultz,AND,316,0
1950,Howie Schultz,FTW,355,0
1950,Dick Schulz,TOT,212,0
1950,Dick Schulz,WSC,45,0
1950,Dick Schulz,TRI,45,0
1950,Dick Schulz,SHE,122,0
1950,Fred Scolari,WSC,910,0
1950,Wayne See,WAT,303,0
1950,Glen Selbo,SHE,51,0
1950,Rollie Seltz,AND,309,0
1950,Jim Seminoff,BOS,283,0
1950,George Senesky,PHW,709,0
1950,Paul Seymour,SYR,524,0
